Date,Origin,Dest,Depart,Arrive,Hobbs,Flight Time,Flight Distance,Fuel,Fuel/hr,Fuel/nm,Altitude,Speed
"Mon, Jun 22, 2015",KBED,KTEB,07:14,08:42,1.37 hrs,1.09 hrs,184.46 nm,22.08 gal,16.14 gal/hr,0.12 gal/nm,6072 msl,159 kts
"Wed, Jun 17, 2015",KACK,KBED,13:25,14:17,0.84 hrs,0.63 hrs,98.83 nm,12.65 gal,15.09 gal/hr,0.13 gal/nm,6962 msl,151 kts
"Wed, Jun 17, 2015",KBED,KACK,11:20,12:12,0.8 hrs,0.65 hrs,118.09 nm,13.86 gal,17.32 gal/hr,0.12 gal/nm,7011 msl,170 kts
"Wed, Jun 17, 2015",KBED,KBED,10:13,11:00,0.75 hrs,0.49 hrs,71.77 nm,9.35 gal,12.41 gal/hr,0.13 gal/nm,3514 msl,140 kts
"Wed, Jun 17, 2015",,,10:06,10:07,0.02 hrs,0.00 hrs,0.00 nm,0.00 gal,0.00 gal/hr,0.00 gal/nm,0 msl,0 kts
"Tue, Jun 16, 2015",KBED,KBED,14:40,14:42,0.04 hrs,0.00 hrs,0.00 nm,0.00 gal,0.00 gal/hr,0.00 gal/nm,0 msl,0 kts
"Tue, Jun 16, 2015",KACK,KBED,13:15,14:27,1.13 hrs,0.82 hrs,132.72 nm,16.51 gal,14.68 gal/hr,0.12 gal/nm,4015 msl,151 kts
"Tue, Jun 16, 2015",KBED,KACK,11:26,12:21,0.86 hrs,0.64 hrs,110.68 nm,13.24 gal,15.34 gal/hr,0.12 gal/nm,9014 msl,164 kts
"Tue, Jun 16, 2015",,,10:43,10:43,0.01 hrs,0.00 hrs,0.00 nm,0.00 gal,0.00 gal/hr,0.00 gal/nm,0 msl,0 kts
"Tue, Jun 16, 2015",,,10:38,10:39,0.02 hrs,0.00 hrs,0.00 nm,0.00 gal,0.00 gal/hr,0.00 gal/nm,0 msl,0 kts
"Mon, Jun 15, 2015",KIAG,KBED,21:11,23:18,1.99 hrs,1.79 hrs,350.18 nm,35.24 gal,17.74 gal/hr,0.10 gal/nm,9055 msl,185 kts
"Mon, Jun 15, 2015",KDLH,KIAG,15:39,20:08,3.32 hrs,3.16 hrs,617.65 nm,79.62 gal,23.98 gal/hr,0.13 gal/nm,9045 msl,187 kts
"Mon, Jun 15, 2015",KDLH,KDLH,10:41,11:42,0.95 hrs,0.70 hrs,83.35 nm,12.85 gal,13.48 gal/hr,0.15 gal/nm,5378 msl,111 kts
"Mon, Jun 15, 2015",,,10:22,10:22,0 hrs,0.00 hrs,0.00 nm,0.00 gal,0.00 gal/hr,0.00 gal/nm,0 msl,0 kts
"Mon, Jun 15, 2015",,,08:44,08:45,0.02 hrs,0.00 hrs,0.00 nm,0.00 gal,0.00 gal/hr,0.00 gal/nm,0 msl,0 kts
"Sun, Jun 14, 2015",KFCM,KDLH,21:10,22:15,1.03 hrs,0.87 hrs,150.44 nm,18.25 gal,17.72 gal/hr,0.12 gal/nm,7010 msl,164 kts
"Sun, Jun 14, 2015",KDLH,KFCM,15:57,17:59,1.89 hrs,1.64 hrs,271.14 nm,33.42 gal,17.67 gal/hr,0.12 gal/nm,7505 msl,154 kts
"Sun, Jun 14, 2015",KDLH,KDLH,14:09,14:15,0.11 hrs,0.00 hrs,0.00 nm,0.27 gal,2.49 gal/hr,0.00 gal/nm,0 msl,0 kts
"Sun, Jun 14, 2015",KBRD,KDLH,12:17,13:41,1.3 hrs,1.16 hrs,205.75 nm,22.89 gal,17.59 gal/hr,0.11 gal/nm,7511 msl,165 kts
"Sun, Jun 14, 2015",KDLH,KBRD,08:58,11:13,2.12 hrs,1.70 hrs,276.88 nm,34.29 gal,16.21 gal/hr,0.12 gal/nm,16019 msl,154 kts
"Sun, Jun 14, 2015",KDLH,KDLH,08:37,08:40,0.05 hrs,0.00 hrs,0.00 nm,0.11 gal,2.44 gal/hr,0.00 gal/nm,0 msl,0 kts
"Sat, Jun 13, 2015",,,12:05,12:06,0.02 hrs,0.00 hrs,0.00 nm,0.00 gal,0.00 gal/hr,0.00 gal/nm,0 msl,0 kts
"Fri, Jun 12, 2015",KDLH,KDLH,17:20,17:55,0.54 hrs,0.31 hrs,46.48 nm,7.69 gal,14.20 gal/hr,0.17 gal/nm,4021 msl,138 kts
"Fri, Jun 12, 2015",KDLH,KDLH,16:22,16:24,0.04 hrs,0.00 hrs,0.00 nm,0.00 gal,0.00 gal/hr,0.00 gal/nm,0 msl,0 kts
