Date,Origin,Dest,Depart,Arrive,Hobbs,Flight Time,Flight Distance,Fuel,Fuel/hr,Fuel/nm,Altitude,Speed
"Mon, Apr 25, 2016",KLEE,KLEE,08:36,08:36,0.01 hrs,0.00 hrs,0.00 nm,0.00 gal,0.00 gal/hr,0.00 gal/nm,0 msl,0 kts
"Fri, Apr 15, 2016",KGWW,KLEE,10:35,13:28,2.73 hrs,2.55 hrs,476.26 nm,49.13 gal,17.97 gal/hr,0.10 gal/nm,6098 msl,177 kts
"Fri, Apr 15, 2016",KBED,KGWW,05:55,10:22,3.31 hrs,2.90 hrs,553.21 nm,55.82 gal,16.85 gal/hr,0.10 gal/nm,6025 msl,184 kts
"Fri, Apr 15, 2016",,,05:35,05:35,0.01 hrs,0.00 hrs,0.00 nm,0.00 gal,0.00 gal/hr,0.00 gal/nm,0 msl,0 kts
"Thu, Apr 14, 2016",,,10:22,10:23,0.01 hrs,0.00 hrs,0.00 nm,0.00 gal,0.00 gal/hr,0.00 gal/nm,0 msl,0 kts
"Thu, Apr 14, 2016",,,09:27,09:28,0.02 hrs,0.00 hrs,0.00 nm,0.00 gal,0.00 gal/hr,0.00 gal/nm,0 msl,0 kts
"Wed, Apr 13, 2016",,,11:40,13:32,1.86 hrs,0.00 hrs,0.00 nm,0.00 gal,0.00 gal/hr,0.00 gal/nm,0 msl,0 kts
"Sun, Apr 10, 2016",KBED,KBED,15:11,15:13,0.04 hrs,0.00 hrs,0.00 nm,0.10 gal,2.54 gal/hr,0.00 gal/nm,0 msl,0 kts
"Sun, Apr 10, 2016",KBGR,KBED,13:35,14:58,1.33 hrs,1.14 hrs,182.15 nm,21.81 gal,16.36 gal/hr,0.12 gal/nm,8065 msl,154 kts
"Sun, Apr 10, 2016",KBED,KBGR,12:01,13:20,1.26 hrs,1.03 hrs,178.82 nm,15.97 gal,12.64 gal/hr,0.09 gal/nm,7650 msl,165 kts
"Fri, Apr 8, 2016",,,13:23,13:23,0.01 hrs,0.00 hrs,0.00 nm,0.00 gal,0.00 gal/hr,0.00 gal/nm,0 msl,0 kts
"Sat, Apr 2, 2016",KBTV,KBED,16:58,18:18,1.28 hrs,0.92 hrs,160.06 nm,18.72 gal,14.66 gal/hr,0.12 gal/nm,7016 msl,167 kts
"Sat, Apr 2, 2016",KBED,KBTV,07:04,08:25,1.31 hrs,1.03 hrs,158.30 nm,19.84 gal,15.16 gal/hr,0.13 gal/nm,7021 msl,148 kts
"Sat, Apr 2, 2016",KBED,KBED,06:48,10:48,0.03 hrs,0.00 hrs,0.00 nm,0.00 gal,0.00 gal/hr,0.00 gal/nm,0 msl,0 kts
"Thu, Mar 31, 2016",,,17:28,17:30,0.03 hrs,0.00 hrs,0.00 nm,0.00 gal,0.00 gal/hr,0.00 gal/nm,0 msl,0 kts
"Thu, Mar 31, 2016",,,12:42,12:44,0.03 hrs,0.00 hrs,0.00 nm,0.00 gal,0.00 gal/hr,0.00 gal/nm,0 msl,0 kts
"Sat, Mar 26, 2016",KBED,KBED,17:03,22:31,1.42 hrs,0.88 hrs,129.63 nm,14.31 gal,10.09 gal/hr,0.11 gal/nm,4507 msl,141 kts
"Sat, Mar 26, 2016",,,16:42,16:42,0.01 hrs,0.00 hrs,0.00 nm,0.00 gal,0.00 gal/hr,0.00 gal/nm,0 msl,0 kts
"Tue, Mar 22, 2016",KGWW,KBED,13:27,16:41,3.1 hrs,2.90 hrs,553.22 nm,57.15 gal,18.45 gal/hr,0.10 gal/nm,11014 msl,183 kts
"Tue, Mar 22, 2016",KLEE,KGWW,10:24,13:13,2.73 hrs,2.52 hrs,467.34 nm,49.42 gal,18.14 gal/hr,0.11 gal/nm,11025 msl,180 kts
"Tue, Mar 22, 2016",KLEE,KLEE,10:10,10:10,0.01 hrs,0.00 hrs,0.00 nm,0.00 gal,0.00 gal/hr,0.00 gal/nm,0 msl,0 kts
"Sat, Mar 19, 2016",KLEE,KLEE,15:58,17:23,1.36 hrs,1.11 hrs,180.07 nm,21.37 gal,15.68 gal/hr,0.12 gal/nm,4771 msl,157 kts
"Sat, Mar 19, 2016",KLEE,KLEE,15:50,15:50,0.01 hrs,0.00 hrs,0.00 nm,0.00 gal,0.00 gal/hr,0.00 gal/nm,0 msl,0 kts
"Fri, Mar 18, 2016",KGWW,KLEE,10:42,13:51,3.02 hrs,2.77 hrs,484.46 nm,52.89 gal,17.50 gal/hr,0.11 gal/nm,6021 msl,168 kts
"Fri, Mar 18, 2016",KBED,KGWW,06:49,10:30,3.52 hrs,3.23 hrs,551.58 nm,61.79 gal,17.56 gal/hr,0.11 gal/nm,6130 msl,163 kts
"Fri, Mar 18, 2016",,,06:32,06:32,0.01 hrs,0.00 hrs,0.00 nm,0.00 gal,0.00 gal/hr,0.00 gal/nm,0 msl,0 kts
"Sun, Mar 13, 2016",KGWW,KBED,14:47,17:58,3.06 hrs,2.83 hrs,538.45 nm,57.08 gal,18.68 gal/hr,0.11 gal/nm,11078 msl,182 kts
